flavor,rating,customer_id,rating_date
Classic Chocolate,4.5,CUST001,2024-07-05
Strawberry Swirl,3.8,CUST002,2024-07-10
Vanilla Bean,4.2,CUST003,2024-07-15
Caramel Delight,3.5,CUST004,2024-07-20
Mocha Bean,,CUST005,2024-07-25
Classic Chocolate,4.5,CUST001,2024-07-05
Classic Chocolate,5.0,CUST006,2024-08-01
Strawberry Swirl,4.0,CUST007,2024-08-02
Vanilla Bean,3.9,CUST008,2024-08-03
Caramel Delight,4.8,CUST009,2024-10-04
Mocha Bean,2.5,CUST010,2024-09-05
Classic Chocolate,4.7,CUST011,2024-10-06
Strawberry Swirl,,CUST012,2024-10-07
Vanilla Bean,4.3,CUST013,2024-10-08
Caramel Delight,4.9,CUST014,2024-10-09
Mocha Bean,3.3,CUST015,2024-08-10
Classic Chocolate,1.0,CUST016,2024-08-11
Strawberry Swirl,6.0,CUST017,2024-08-12
Vanilla Bean,3.0,CUST018,2024-08-13
Caramel Delight,4.2,CUST019,2024-08-14
Mocha Bean,4.1,CUST020,2024-08-15
Classic Chocolate,3.7,CUST021,2024-08-16
Strawberry Swirl,3.9,CUST022,2024-08-17
Vanilla Bean,4.4,CUST023,2024-08-18
Caramel Delight,3.6,CUST024,2024-08-19
Mocha Bean,,CUST025,2024-08-20
Classic Chocolate,4.8,CUST026,2024-08-21
Strawberry Swirl,4.6,CUST027,2024-08-22
Vanilla Bean,4.0,CUST028,2024-08-23
Caramel Delight,4.4,CUST029,2024-08-24
Mocha Bean,3.2,CUST030,2024-11-25
Classic Chocolate,4.9,CUST031,2024-11-26
Strawberry Swirl,4.1,CUST032,2024-11-27
Vanilla Bean,3.3,CUST033,2024-11-28
Caramel Delight,3.8,CUST034,2024-11-29
Mocha Bean,4.0,CUST035,2024-11-30
Classic Chocolate,4.3,CUST036,2024-12-01
Strawberry Swirl,,CUST037,2024-12-02
Vanilla Bean,3.7,CUST038,2024-12-03
Caramel Delight,4.5,CUST039,2024-12-04
Mocha Bean,3.9,CUST040,2024-12-05
Classic Chocolate,4.4,CUST041,2024-12-06
Strawberry Swirl,3.5,CUST042,2024-12-07
Vanilla Bean,4.6,CUST043,2024-12-08
Caramel Delight,4.2,CUST044,2025-02-09
Mocha Bean,3.4,CUST045,2025-02-10
Classic Chocolate,,CUST046,2025-02-11
Strawberry Swirl,4.0,CUST047,2025-02-12
Vanilla Bean,4.1,CUST048,2025-02-13
Caramel Delight,4.3,CUST049,2025-04-14
Mocha Bean,3.7,CUST050,2025-04-15
Classic Chocolate,4.6,CUST051,2025-04-16
Strawberry Swirl,4.3,CUST052,2025-04-17
Vanilla Bean,3.8,CUST053,2025-04-18
Caramel Delight,,CUST054,2025-06-19
Mocha Bean,4.7,CUST055,2025-06-20
Classic Chocolate,4.0,CUST056,2025-06-21
Strawberry Swirl,4.2,CUST057,2025-06-22
Vanilla Bean,3.6,CUST058,2025-06-23
Caramel Delight,4.0,CUST059,2025-06-24
