user_id,interaction_date,interaction_time,search_results_displayed
user_1,2024-07-05,35.5,10
user_2,2024-07-10,22.3,5
user_1,2024-07-05,35.5,10
user_3,2024-08-01,48,15
user_4,2024-08-15,,20
user_5,2024-09-05,60.2,10
user_6,2024-10-10,12,5
user_7,2024-11-20,80,15
user_8,2024-12-31,55,20
user_9,2025-01-15,75.5,10
user_10,2025-02-20,30,5
user_2,2024-07-10,22.3,5
user_11,2025-03-01,92.5,10
user_12,2025-03-05,15,15
user_13,2025-03-10,45.3,20
user_14,2025-03-15,5,5
user_15,2025-03-20,68,10
user_16,2025-03-25,110,15
user_17,2025-04-01,29.9,20
user_18,2025-04-05,150,10
user_19,2025-04-10,33.3,5
user_20,2025-04-15,25,15
user_21,2025-04-20,40,20
user_22,2025-04-25,85.5,10
user_23,2025-04-30,,5
user_24,2025-05-05,55.5,15
user_25,2025-05-10,65,20
user_26,2025-05-15,70,10
user_27,2025-05-20,95,5
user_28,2025-05-25,50,15
user_29,2025-06-01,88,20
user_30,2025-06-05,42,10
user_31,2025-06-10,37,5
user_32,2025-06-15,82,15
user_33,2025-06-20,20,20
user_34,2025-06-25,90,10
user_35,2025-06-29,77,5
user_36,2025-06-30,66.6,15
user_37,2024-07-15,100,20
user_38,2024-07-20,110.5,10
user_39,2024-08-05,35,5
user_40,2024-08-10,59.9,15
user_41,2024-08-15,47.3,20
user_42,2024-08-20,,10
user_43,2024-09-01,68.5,5
user_44,2024-09-05,72.7,15
user_45,2024-09-10,55.5,20
user_46,2024-09-15,62,10
user_47,2024-09-20,40,5
user_48,2024-09-25,85,15
user_49,2024-10-01,95,20
user_50,2024-10-05,33.3,10
user_51,2024-10-10,44.4,5
user_52,2024-10-15,88.8,15
user_53,2024-10-20,76.5,20
user_54,2024-10-25,90,10
user_55,2024-10-30,,5
user_56,2024-11-01,101,15
user_57,2024-11-05,59,20
user_58,2024-11-10,66,10
